key,resolverMapping,scope,role@key
global_conversationUser.delete,conversationUser.delete,all,global_platform_admin
global_conversation.delete,conversation.delete,all,global_platform_admin
global_messageStatus.delete,messageStatus.delete,all,global_platform_admin
global_message.delete,message.delete,all,global_platform_admin
global_chatEventType.read,chatEventType.read,all,global_platform_admin
global_chatEventType.write,chatEventType.write,all,global_platform_admin
global_chatEventType.delete,chatEventType.delete,all,global_platform_admin
global_chatEventSubscriber.read,chatEventSubscriber.read,all,global_platform_admin
global_chatEventSubscriber.write,chatEventSubscriber.write,all,global_platform_admin
global_chatEventSubscriber.delete,chatEventSubscriber.delete,all,global_platform_admin
global_glossary.read,glossary.read,all,global_platform_admin
global_glossary.write,glossary.write,all,global_platform_admin
global_glossary.delete,glossary.delete,all,global_platform_admin
global_glossaryValue.write,glossaryValue.write,all,global_platform_admin
global_glossaryValue.read,glossaryValue.read,all,global_platform_admin
global_glossaryValue.delete,glossaryValue.delete,all,global_platform_admin
global_translation.read,translation.read,all,global_platform_admin
global_contentEventType.read,contentEventType.read,all,global_platform_admin
global_contentEventType.write,contentEventType.write,all,global_platform_admin
global_contentEventType.delete,contentEventType.delete,all,global_platform_admin
global_contentEventSubscriber.read,contentEventSubscriber.read,all,global_platform_admin
global_contentEventSubscriber.write,contentEventSubscriber.write,all,global_platform_admin
global_contentEventSubscriber.delete,contentEventSubscriber.delete,all,global_platform_admin
global_mail.write,mail.write,all,global_platform_admin
global_mailType.read,mailType.read,all,global_platform_admin
global_mailType.write,mailType.write,all,global_platform_admin
global_mailType.delete,mailType.delete,all,global_platform_admin
global_mailTypeLocalized.read,mailTypeLocalized.read,all,global_platform_admin
global_mailTypeLocalized.write,mailTypeLocalized.write,all,global_platform_admin
global_mailTypeLocalized.delete,mailTypeLocalized.delete,all,global_platform_admin
global_mailEventType.read,mailEventType.read,all,global_platform_admin
global_mailEventType.write,mailEventType.write,all,global_platform_admin
global_mailEventType.delete,mailEventType.delete,all,global_platform_admin
global_mailEventSubscriber.read,mailEventSubscriber.read,all,global_platform_admin
global_mailEventSubscriber.write,mailEventSubscriber.write,all,global_platform_admin
global_mailEventSubscriber.delete,mailEventSubscriber.delete,all,global_platform_admin
global_notification.read,notification.read,all,global_platform_admin
global_notification.write,notification.write,all,global_platform_admin
global_notification.delete,notification.delete,all,global_platform_admin
global_notificationWeb.read,notificationWeb.read,all,global_platform_admin
global_notificationWeb.write,notificationWeb.write,all,global_platform_admin
global_notificationWeb.delete,notificationWeb.delete,all,global_platform_admin
global_notificationType.read,notificationType.read,all,global_platform_admin
global_notificationType.write,notificationType.write,all,global_platform_admin
global_notificationType.delete,notificationType.delete,all,global_platform_admin
global_notificationTypeUserPreference.read,notificationTypeUserPreference.read,all,global_platform_admin
global_notificationTypeUserPreference.write,notificationTypeUserPreference.write,all,global_platform_admin
global_notificationTypeUserPreference.delete,notificationTypeUserPreference.delete,all,global_platform_admin
global_notificationTypeChannelWeb.read,notificationTypeChannelWeb.read,all,global_platform_admin
global_notificationTypeChannelWeb.write,notificationTypeChannelWeb.write,all,global_platform_admin
global_notificationTypeChannelWeb.delete,notificationTypeChannelWeb.delete,all,global_platform_admin
global_notificationTypeChannelWebLocalized.read,notificationTypeChannelWebLocalized.read,all,global_platform_admin
global_notificationTypeChannelWebLocalized.write,notificationTypeChannelWebLocalized.write,all,global_platform_admin
global_notificationTypeChannelWebLocalized.delete,notificationTypeChannelWebLocalized.delete,all,global_platform_admin
global_notificationTypeChannelMail.read,notificationTypeChannelMail.read,all,global_platform_admin
global_notificationTypeChannelMail.write,notificationTypeChannelMail.write,all,global_platform_admin
global_notificationTypeChannelMail.delete,notificationTypeChannelMail.delete,all,global_platform_admin
global_notificationTypeCategory.read,notificationTypeCategory.read,all,global_platform_admin
global_notificationTypeCategory.write,notificationTypeCategory.write,all,global_platform_admin
global_notificationTypeCategory.delete,notificationTypeCategory.delete,all,global_platform_admin
global_notificationEventType.read,notificationEventType.read,all,global_platform_admin
global_notificationEventType.write,notificationEventType.write,all,global_platform_admin
global_notificationEventType.delete,notificationEventType.delete,all,global_platform_admin
global_notificationEventSubscriber.read,notificationEventSubscriber.read,all,global_platform_admin
global_notificationEventSubscriber.write,notificationEventSubscriber.write,all,global_platform_admin
global_notificationEventSubscriber.delete,notificationEventSubscriber.delete,all,global_platform_admin
global_file.read,file.read,all,global_platform_admin
global_file.write,file.write,all,global_platform_admin
global_file.delete,file.delete,all,global_platform_admin
global_fileCategory.read,fileCategory.read,all,global_platform_admin
global_fileCategory.write,fileCategory.write,all,global_platform_admin
global_fileCategory.delete,fileCategory.delete,all,global_platform_admin
global_fileCategoryContentType.read,fileCategoryContentType.read,all,global_platform_admin
global_spaceEventType.read,spaceEventType.read,all,global_platform_admin
global_spaceEventType.write,spaceEventType.write,all,global_platform_admin
global_spaceEventType.delete,spaceEventType.delete,all,global_platform_admin
global_spaceEventSubscriber.read,spaceEventSubscriber.read,all,global_platform_admin
global_spaceEventSubscriber.write,spaceEventSubscriber.write,all,global_platform_admin
global_spaceEventSubscriber.delete,spaceEventSubscriber.delete,all,global_platform_admin
global_user.read,user.read,all,global_platform_admin
global_user.write,user.write,all,global_platform_admin
global_user.delete,user.delete,all,global_platform_admin
global_user.update,user.update,all,global_platform_admin
global_userToken.read,userToken.read,all,global_platform_admin
global_userToken.write,userToken.write,all,global_platform_admin
global_userToken.delete,userToken.delete,all,global_platform_admin
global_userProvider.read,userProvider.read,all,global_platform_admin
global_userProvider.write,userProvider.write,all,global_platform_admin
global_userProvider.delete,userProvider.delete,all,global_platform_admin
global_userInvite.public,userInvite.public,all,global_platform_admin
global_userInvite.read,userInvite.read,all,global_platform_admin
global_userInvite.write,userInvite.write,all,global_platform_admin
global_userInvite.delete,userInvite.delete,all,global_platform_admin
global_userPermissions.read,userPermissions.read,all,global_platform_admin
global_userGroup.read,userGroup.read,all,global_platform_admin
global_userGroup.write,userGroup.write,all,global_platform_admin
global_userGroup.delete,userGroup.delete,all,global_platform_admin
global_userGroupConfig.read,userGroupConfig.read,all,global_platform_admin
global_userGroupConfig.write,userGroupConfig.write,all,global_platform_admin
global_userGroupConfig.delete,userGroupConfig.delete,all,global_platform_admin
global_role.read,role.read,all,global_platform_admin
global_role.write,role.write,all,global_platform_admin
global_role.delete,role.delete,all,global_platform_admin
global_permission.read,permission.read,all,global_platform_admin
global_permission.write,permission.write,all,global_platform_admin
global_permission.delete,permission.delete,all,global_platform_admin
global_userEventType.read,userEventType.read,all,global_platform_admin
global_userEventType.write,userEventType.write,all,global_platform_admin
global_userEventType.delete,userEventType.delete,all,global_platform_admin
global_userEventSubscriber.read,userEventSubscriber.read,all,global_platform_admin
global_userEventSubscriber.write,userEventSubscriber.write,all,global_platform_admin
global_userEventSubscriber.delete,userEventSubscriber.delete,all,global_platform_admin
global_workflow.read,workflow.read,all,global_platform_admin
global_workflow.write,workflow.write,all,global_platform_admin
global_workflow.delete,workflow.delete,all,global_platform_admin
global_workflowEventType.read,workflowEventType.read,all,global_platform_admin
global_workflowEventType.write,workflowEventType.write,all,global_platform_admin
global_workflowEventType.delete,workflowEventType.delete,all,global_platform_admin
global_workflowEventSubscriber.read,workflowEventSubscriber.read,all,global_platform_admin
global_workflowEventSubscriber.write,workflowEventSubscriber.write,all,global_platform_admin
global_workflowEventSubscriber.delete,workflowEventSubscriber.delete,all,global_platform_admin
global_healthCheck.read,healthCheck.read,all,global_platform_admin
global_eventExample.read,eventExample.read,all,global_platform_admin
global_eventExample.write,eventExample.write,all,global_platform_admin
global_eventExample.delete,eventExample.delete,all,global_platform_admin
global_eventRecord.read,eventRecord.read,all,global_platform_admin
global_eventRecord.write,eventRecord.write,all,global_platform_admin
global_eventRecord.delete,eventRecord.delete,all,global_platform_admin
global_event.trigger,event.trigger,all,global_platform_admin
